state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
Texas,Calhoun,48057,21290,5621,11688,3981,15669
Texas,Callahan,48059,13943,3335,7650,2958,10608
Texas,Cameron,48061,423163,140542,224014,58607,282621
Texas,Camp,48063,13094,3746,6854,2494,9348
Texas,Carson,48065,5926,1514,3162,1250,4412
Texas,Cass,48067,30026,7305,15865,6856,22721
Texas,Castro,48069,7530,2368,3926,1236,5162
Texas,Chambers,48071,43837,13330,25248,5259,30507
Texas,Cherokee,48073,52646,14930,28272,9444,37716
Texas,Childress,48075,7306,1554,4587,1165,5752
Texas,Clay,48077,10471,2282,5705,2484,8189
Texas,Cochran,48079,2853,832,1553,468,2021
Texas,Coke,48081,3387,797,1643,947,2590
Texas,Coleman,48083,8175,1840,4216,2119,6335
Texas,Collin,48085,1034730,291011,627144,116575,743719
Texas,Collingsworth,48087,2920,800,1565,555,2120
Texas,Colorado,48089,21493,5446,11197,4850,16047
Texas,Comal,48091,156209,38518,89163,28528,117691
Texas,Comanche,48093,13635,3314,6991,3330,10321
Texas,Concho,48095,2726,549,1488,689,2177
Texas,Cooke,48097,41257,10698,22755,7804,30559
Texas,Coryell,48099,75951,19012,48899,8040,56939
Texas,Cottle,48101,1398,358,701,339,1040
Texas,Crane,48103,4797,1530,2673,594,3267
Texas,Crockett,48105,3464,938,1914,612,2526
Texas,Crosby,48107,5737,1655,2997,1085,4082
Texas,Culberson,48109,2171,535,1156,480,1636
Texas,Dallam,48111,7287,2523,3907,857,4764
Texas,Dallas,48113,2635516,749026,1594373,292117,1886490
Texas,Dawson,48115,12728,3626,7204,1898,9102
Texas,Deaf Smith,48117,18546,6296,9827,2423,12250
Texas,Delta,48119,5331,1381,2832,1118,3950
Texas,Denton,48121,887207,239747,553961,93499,647460
Texas,DeWitt,48123,20160,4962,11163,4035,15198
Texas,Dickens,48125,2211,468,1218,525,1743
Texas,Dimmit,48127,10124,3198,5177,1749,6926
Texas,Donley,48129,3278,842,1632,804,2436
Texas,Duval,48131,11157,3142,5984,2031,8015
Texas,Eastland,48133,18360,4608,9698,4054,13752
Texas,Ector,48135,166223,54911,95342,15970,111312
Texas,Edwards,48137,1932,458,913,561,1474
Texas,Ellis,48139,184826,53743,106795,24288,131083
Texas,El Paso,48141,839238,249839,484224,105175,589399
Texas,Erath,48143,42698,11948,24494,6256,30750
Texas,Falls,48145,17297,3974,10097,3226,13323
Texas,Fannin,48147,35514,8277,20649,6588,27237
Texas,Fayette,48149,25346,5548,13119,6679,19798
Texas,Fisher,48151,3830,897,1972,961,2933
Texas,Floyd,48153,5712,1660,2982,1070,4052
Texas,Foard,48155,1155,252,588,315,903
Texas,Fort Bend,48157,811688,242562,475275,93851,569126
Texas,Franklin,48159,10725,2721,5637,2367,8004
Texas,Freestone,48161,19717,4942,10779,3996,14775
Texas,Frio,48163,20306,5405,12402,2499,14901
Texas,Gaines,48165,21492,8393,11192,1907,13099
Texas,Galveston,48167,342139,91147,200005,50987,250992
Texas,Garza,48169,6229,1253,4257,719,4976
Texas,Gillespie,48171,26988,5868,13010,8110,21120
Texas,Glasscock,48173,1409,386,813,210,1023
Texas,Goliad,48175,7658,1753,4073,1832,5905
Texas,Gonzales,48177,20837,6122,11143,3572,14715
Texas,Gray,48179,21886,6021,12334,3531,15865
Texas,Grayson,48181,136212,35792,76238,24182,100420
Texas,Gregg,48183,123945,35155,69339,19451,88790
Texas,Grimes,48185,28880,7069,16677,5134,21811
Texas,Guadalupe,48187,166847,45879,97354,23614,120968
Texas,Hale,48189,33406,10046,18756,4604,23360
Texas,Hall,48191,2964,728,1525,711,2236
Texas,Hamilton,48193,8461,2004,4311,2146,6457
Texas,Hansford,48195,5399,1794,2793,812,3605
Texas,Hardeman,48197,3933,920,2101,912,3013
Texas,Hardin,48199,57602,15290,32550,9762,42312
Texas,Harris,48201,4713325,1367692,2831466,514167,3345633
Texas,Harrison,48203,66553,18280,36666,11607,48273
Texas,Hartley,48205,5576,1254,3461,861,4322
Texas,Haskell,48207,5658,1081,3311,1266,4577
Texas,Hays,48209,230191,62287,141717,26187,167904
Texas,Hemphill,48211,3819,1271,1942,606,2548
Texas,Henderson,48213,82737,19535,44668,18534,63202
Texas,Hidalgo,48215,868707,308514,461865,98328,560193
Texas,Hill,48217,36649,9422,19543,7684,27227
Texas,Hockley,48219,23021,6879,12689,3453,16142
Texas,Hood,48221,61643,14110,32117,15416,47533
Texas,Hopkins,48223,37084,9839,20358,6887,27245
Texas,Houston,48225,22968,4938,12854,5176,18030
Texas,Howard,48227,36664,9060,22791,4813,27604
Texas,Hudspeth,48229,4886,1114,2997,775,3772
Texas,Hunt,48231,98594,26515,56269,15810,72079
Texas,Hutchinson,48233,20938,5859,11498,3581,15079
Texas,Irion,48235,1536,376,832,328,1160
Texas,Jack,48237,8935,2169,5251,1515,6766
Texas,Jackson,48239,14760,4099,7941,2720,10661
Texas,Jasper,48241,35529,9183,19159,7187,26346
Texas,Jeff Davis,48243,2274,181,1281,812,2093
Texas,Jefferson,48245,251565,67182,146788,37595,184383
Texas,Jim Hogg,48247,5200,1738,2572,890,3462
Texas,Jim Wells,48249,40482,12211,21913,6358,28271
Texas,Johnson,48251,175817,49947,100719,25151,125870
Texas,Jones,48253,20083,3919,12976,3188,16164
Texas,Karnes,48255,15601,3726,9664,2211,11875
Texas,Kaufman,48257,136154,41427,78614,16113,94727
Texas,Kendall,48259,47431,12167,26112,9152,35264
Texas,Kenedy,48261,404,116,220,68,288
Texas,Kent,48263,762,184,377,201,578
Texas,Kerr,48265,52600,11330,26501,14769,41270
Texas,Kimble,48267,4337,867,2182,1288,3470
Texas,King,48269,272,74,147,51,198
Texas,Kinney,48271,3667,785,1972,910,2882
Texas,Kleberg,48273,30680,8919,17715,4046,21761
Texas,Knox,48275,3664,1048,1880,736,2616
Texas,Lamar,48277,49859,12910,27223,9726,36949
Texas,Lamb,48279,12893,3914,6739,2240,8979
Texas,Lampasas,48281,21428,5140,11966,4322,16288
Texas,La Salle,48283,7520,1689,4813,1018,5831
Texas,Lavaca,48285,20154,5135,10244,4775,15019
Texas,Lee,48287,17239,4187,9833,3219,13052
Texas,Leon,48289,17404,4266,8804,4334,13138
Texas,Liberty,48291,88219,26063,50757,11399,62156
Texas,Limestone,48293,23437,5759,13008,4670,17678
Texas,Lipscomb,48295,3233,894,1722,617,2339
Texas,Live Oak,48297,12207,2671,7003,2533,9536
Texas,Llano,48299,21795,3609,10067,8119,18186
Texas,Loving,48301,169,54,92,23,115
Texas,Lubbock,48303,310569,87857,183236,39476,222712
Texas,Lynn,48305,5951,1772,3205,974,4179
Texas,McCulloch,48307,7984,1944,4248,1792,6040
Texas,McLennan,48309,256623,73177,145718,37728,183446
Texas,McMullen,48311,743,161,393,189,582
Texas,Madison,48313,14284,3410,8610,2264,10874
Texas,Marion,48315,9854,1941,5216,2697,7913
Texas,Martin,48317,5771,1976,3136,659,3795
Texas,Mason,48319,4274,940,2084,1250,3334
Texas,Matagorda,48321,36643,10264,19988,6391,26379
